participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,perceived_anthropomorphism_post,perceived_animacy_post,perceived_likeability_post,perceived_intelligence_post,perceived_safety_post,empathy_with_the_animal_post,climate_change_impact_on_animal_post,intentions_pre,intentions_post,intentions_change,self_perceived_behavior_pre,self_perceived_behavior_post,self_perceived_behavior_change,choices,condition,animal
94114D92C27E43B0A0E98A2D6FE9E0BB,28,1,4,3,91,89,-2,5.6,6,0.4,85.57142857,76.14285714,-9.428571429,5.833333333,6.333333333,0.5,1,1,0,1,5,4.5,4,5,4,5,5,4,4.5,0.5,2.5,2,-0.5,0,Static Character Narrative,beluga
EF607A2D2E6A4B2EA66AA505975B3335,35,1,5,3,94.25,100,5.75,3.8,4.6,0.8,96.42857143,96.71428571,0.2857142857,6.333333333,6.5,0.1666666667,1,1,0,1,4,5,5,5,4,5,5,3.5,4,0.5,2.5,3,0.5,6,Static Character Narrative,beluga
A568901FF8B24B868562D17FF70D925A,26,1,5,2,100,100,0,4.4,4.6,0.2,100,100,0,5.333333333,5.666666667,0.3333333333,1,1,0,0,3,4.5,5,4.5,3,4,5,4,4,0,2,2,0,3,Static Character Narrative,beluga
D6D3C88E61FE4E02A55E2D8A4BED9549,27,2,5,2,55.75,59.75,4,5,4.6,-0.4,38.71428571,41.57142857,2.857142857,4.666666667,4.833333333,0.1666666667,0,0,0,0,4,4,4,4,3,4,4,3,3,0,3,3,0,2,Static Character Narrative,beluga
9885577580484F9882AD1E3259895026,31,1,7,3,96.25,97.5,1.25,5.2,5,-0.2,89.14285714,89.28571429,0.1428571429,6.166666667,7,0.8333333333,1,1,0,1,4,4,5,5,2,5,5,3.5,3.5,0,3,3,0,2,Static Character Narrative,beluga
7805AD0780004457B3BEF7D929BF4CEC,54,1,3,2,67.5,71.25,3.75,6,6,0,52,53.28571429,1.285714286,4.833333333,5.5,0.6666666667,0,0,0,0,3,4,4,4,4,4,3,1.5,1.5,0,2,2,0,1,Static Character Narrative,beluga
F1A8AA92975D4B689D4AB13B7B8AC7DE,31,1,6,3,99.25,99.25,0,4.6,4.2,-0.4,97.42857143,97.14285714,-0.2857142857,6.333333333,6.666666667,0.3333333333,1,1,0,1,2,3.5,5,4.5,2,5,5,4,4,0,3,3,0,3,Static Character Narrative,beluga
9D717504D8B749AF8B4DE3C5A85FD027,54,2,6,3,54,74.5,20.5,5,6,1,57.14285714,60.42857143,3.285714286,4.833333333,4.833333333,0,1,1,0,1,3,3,4,5,2,4,5,3.5,3,-0.5,3,3,0,4,Static Character Narrative,beluga
474A84E8C8AA41FAB3D19382144229B8,45,1,3,2,17.5,17.5,0,5,4.6,-0.4,27.14285714,25,-2.142857143,5.833333333,6,0.1666666667,0,0,0,0,4,5,5,5,3,5,3,3,3,0,3,3,0,6,Static Character Narrative,beluga
33A7032A930B4CE682C58054EFE8853E,29,1,5,2,100,99.25,-0.75,5.2,5.2,0,90.57142857,85.71428571,-4.857142857,3.833333333,4.166666667,0.3333333333,1,1,0,1,3,2,4,4.5,4,5,5,4.5,4,-0.5,3,3,0,5,Static Character Narrative,beluga
A640486FB8D64835B0BE7CAC1530D616,60,2,5,3,100,100,0,4.6,4.6,0,91,90.71428571,-0.2857142857,5.833333333,6,0.1666666667,1,1,0,1,4,5,5,5,3,5,5,4.5,4.5,0,5,5,0,3,Static Character Narrative,beluga
99997F91ABA741E9B493AF5A3DD37848,36,1,6,2,0,0,0,3,3,0,51.42857143,47.85714286,-3.571428571,3.333333333,3.833333333,0.5,1,1,0,1,3,4,4,3.5,3,3,1,3,3,0,4,4,0,6,Static Character Narrative,beluga
E788C7A6D17E493BA7F0E1FF32FCD152,26,1,2,2,91.25,95,3.75,4.4,4.4,0,88.57142857,90,1.428571429,6,6,0,1,1,0,1,3,2.5,5,5,3,5,5,5,5,0,1,1,0,5,Static Character Narrative,beluga
5CB76BED4B3A4DC586B042B85960FE14,50,2,5,2,73,80.5,7.5,4.2,4.4,0.2,74.57142857,77.85714286,3.285714286,5.333333333,5.5,0.1666666667,0,0,0,0,2,3.5,5,5,4,5,5,4.5,4.5,0,2,2,0,2,Static Character Narrative,beluga
BF86E060063C408BAB269D8F8AEF9F8A,23,1,5,2,97.75,96,-1.75,4.8,4.8,0,95.71428571,97.14285714,1.428571429,5.166666667,5.166666667,0,0,0,0,0,4,4,4,4,4,4,5,4,4,0,4,4,0,3,Static Character Narrative,beluga
1356074AB0944015B670CC9A8277CBD3,68,2,5,3,93.75,93.75,0,4.2,4.8,0.6,85.57142857,88.57142857,3,4.5,4.5,0,,,,,4,5,5,4,3,5,5,3.5,3.5,0,2,2,0,0.2,Static Character Narrative,beluga
3E3450E8BCA14E06A4015035204873D0,52,2,5,2,99.5,99,-0.5,4.2,4.4,0.2,93.14285714,97.14285714,4,5.333333333,5.5,0.1666666667,1,1,0,1,5,5,5,5,3,5,5,3,3,0,3,3,0,5,Static Character Narrative,beluga
18E2D5E0F3D1428AA4AE400DFBC1AE42,24,2,5,2,100,100,0,4.6,4.6,0,92.85714286,92.85714286,0,5.5,5.666666667,0.1666666667,,1,,0,2,5,5,3,3,5,5,2.5,4,1.5,5,5,0,0.75,Static Character Narrative,beluga
